date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:09:55	9/9	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2001%20May%202021%2010:09:55%20GMT	https://contacts.im/robots.txt		(from )
12:09:55	168355/168355	---MC-	200	added ('OK')	text/html	date:Sat,%2001%20May%202021%2010:09:52%20GMT	https://contacts.im/contacts?pin=Kt	C:/Mie%20pagine%20Web/contact/contacts.im/contacts770e.html	(from )
12:09:56	31000/31000	---M--	200	added ('OK')	text/css	etag:%227918-5986bde4c0580%22	https://contacts.im/css/font-awesome.min.css	C:/Mie%20pagine%20Web/contact/contacts.im/css/font-awesome.min.css	(from https://contacts.im/contacts?pin=Kt)
12:09:56	121853/121853	---M--	200	added ('OK')	text/css	etag:%221dbfd-5986bde4c0580%22	https://contacts.im/css/bootstrap3.min.css	C:/Mie%20pagine%20Web/contact/contacts.im/css/bootstrap3.min.css	(from https://contacts.im/contacts?pin=Kt)
12:09:56	312/312	---M--	200	added ('OK')	text/css	etag:%22138-5986bde4c0580%22	https://contacts.im/css/style-ios.css	C:/Mie%20pagine%20Web/contact/contacts.im/css/style-ios.css	(from https://contacts.im/contacts?pin=Kt)
12:09:57	36816/36816	---M--	200	added ('OK')	application/javascript	etag:%228fd0-5986bde4c0580%22	https://contacts.im/js/bootstrap3.min.js	C:/Mie%20pagine%20Web/contact/contacts.im/js/bootstrap3.min.js	(from https://contacts.im/contacts?pin=Kt)
12:09:58	86927/86927	---M--	200	added ('OK')	application/javascript	etag:%221538f-5986bde4c0580%22	https://contacts.im/js/jquery-3.3.1.min.js	C:/Mie%20pagine%20Web/contact/contacts.im/js/jquery-3.3.1.min.js	(from https://contacts.im/contacts?pin=Kt)
12:09:59	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-5986bde4c0580%22	https://contacts.im/fonts/glyphicons-halflings-regular.eot	C:/Mie%20pagine%20Web/contact/contacts.im/fonts/glyphicons-halflings-regular.eot	(from https://contacts.im/css/bootstrap3.min.css)
12:09:59	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-5986bde4c0580%22	https://contacts.im/fonts/glyphicons-halflings-regular.eot?	C:/Mie%20pagine%20Web/contact/contacts.im/fonts/glyphicons-halflings-regulard41d.eot	(from https://contacts.im/css/bootstrap3.min.css)
12:09:59	18028/18028	---M--	200	added ('OK')	text/html	etag:%22466c-5986bde4c0580%22	https://contacts.im/fonts/glyphicons-halflings-regular.woff2	C:/Mie%20pagine%20Web/contact/contacts.im/fonts/glyphicons-halflings-regular.html	(from https://contacts.im/css/bootstrap3.min.css)
12:09:59	23424/23424	---M--	200	added ('OK')	application/font-woff	etag:%225b80-5986bde4c0580%22	https://contacts.im/fonts/glyphicons-halflings-regular.woff	C:/Mie%20pagine%20Web/contact/contacts.im/fonts/glyphicons-halflings-regular.woff	(from https://contacts.im/css/bootstrap3.min.css)
12:10:00	45404/45404	---M--	200	added ('OK')	application/font-sfnt	etag:%22b15c-5986bde4c0580%22	https://contacts.im/fonts/glyphicons-halflings-regular.ttf	C:/Mie%20pagine%20Web/contact/contacts.im/fonts/glyphicons-halflings-regular.ttf	(from https://contacts.im/css/bootstrap3.min.css)
12:10:01	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%221a8c2-5986bde4c0580%22	https://contacts.im/fonts/glyphicons-halflings-regular.svg	C:/Mie%20pagine%20Web/contact/contacts.im/fonts/glyphicons-halflings-regular.svg	(from https://contacts.im/css/bootstrap3.min.css)
12:10:02	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-5986bde4c0580%22	https://contacts.im/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Mie%20pagine%20Web/contact/contacts.im/fonts/fontawesome-webfont3e6e.eot	(from https://contacts.im/css/font-awesome.min.css)
12:10:02	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-5986bde4c0580%22	https://contacts.im/fonts/fontawesome-webfont.eot?	C:/Mie%20pagine%20Web/contact/contacts.im/fonts/fontawesome-webfontd41d.eot	(from https://contacts.im/css/font-awesome.min.css)
12:10:03	98024/98024	---M--	200	added ('OK')	application/font-woff	etag:%2217ee8-5986bde4c0580%22	https://contacts.im/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Mie%20pagine%20Web/contact/contacts.im/fonts/fontawesome-webfont3e6e.woff	(from https://contacts.im/css/font-awesome.min.css)
12:10:04	77160/77160	---M--	200	added ('OK')	text/html	etag:%2212d68-5986bde4c0580%22	https://contacts.im/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Mie%20pagine%20Web/contact/contacts.im/fonts/fontawesome-webfont3e6e.html	(from https://contacts.im/css/font-awesome.min.css)
12:10:04	165548/165548	---M--	200	added ('OK')	application/font-sfnt	etag:%22286ac-5986bde4c0580%22	https://contacts.im/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Mie%20pagine%20Web/contact/contacts.im/fonts/fontawesome-webfont3e6e.ttf	(from https://contacts.im/css/font-awesome.min.css)
12:10:04	89452/89452	---M--	200	added ('OK')	text/html	etag:%2215d6c-5986bde4c0580%22	https://contacts.im/fonts/SFProDisplay-Regular.woff2	C:/Mie%20pagine%20Web/contact/contacts.im/fonts/SFProDisplay-Regular.html	(from https://contacts.im/css/style-ios.css)
12:10:05	144216/144216	---M--	200	added ('OK')	application/font-woff	etag:%2223358-5986bde4c0580%22	https://contacts.im/fonts/SFProDisplay-Regular.woff	C:/Mie%20pagine%20Web/contact/contacts.im/fonts/SFProDisplay-Regular.woff	(from https://contacts.im/css/style-ios.css)
12:10:06	444379/444379	---M--	200	added ('OK')	image/svg+xml	etag:%226c7db-5986bde4c0580%22	https://contacts.im/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Mie%20pagine%20Web/contact/contacts.im/fonts/fontawesome-webfont3e6e.svg	(from https://contacts.im/css/font-awesome.min.css)
12:10:06	413924/413924	---M--	200	added ('OK')	application/font-sfnt	etag:%22650e4-5986bde4c0580%22	https://contacts.im/fonts/SFProDisplay-Regular.ttf	C:/Mie%20pagine%20Web/contact/contacts.im/fonts/SFProDisplay-Regular.ttf	(from https://contacts.im/css/style-ios.css)
